T1Time,T1Pos,T1Vel,T1Acc,T2Time,T2Pos,T2Vel,T2Acc,T3Time,T3Pos,T3Vel,T3Acc,T4Time,T4Pos,T4Vel,T4Acc,T5Time,T5Pos,T5Vel,T5Acc,T6Time,T6Pos,T6Vel,T6Acc
1.2,0.4416125,0.3284225,-0.011486265,1.2,0.485345,0.334043889,0.009792438,1.2,0.4851735,0.335187222,-0.006193056,1.2,0.4597915,0.3301375,0.022284414,1.2,0.493577,0.335473056,0.006934105,1.2,0.547428,0.328517778,0.022072685
1.25,0.457219,0.328708333,0.010321759,1.25,0.502152,0.333758056,-0.010004167,1.25,0.5019805,0.331661944,-0.006987037,1.25,0.47677,0.332328889,-0.011803858,1.25,0.5105555,0.333472222,-0.03228858,1.25,0.5640635,0.330709167,0.026148457
1.3,0.474369,0.330804444,0.014027006,1.3,0.5187875,0.331947778,-0.00984537,1.3,0.5181015,0.332043056,0.032659105,1.3,0.4934055,0.328327222,-0.035464506,1.3,0.5270195,0.329661111,-0.024560494,1.3,0.5805275,0.332138333,0.01185679
1.35,0.49049,0.330328056,0.014503395,1.35,0.5352515,0.331947778,0.005981327,1.35,0.5349085,0.337092778,0.035676235,1.35,0.5095265,0.325468889,-0.002964198,1.35,0.543312,0.329470556,0.012121451,1.35,0.5973345,0.332519444,-0.012386111
1.4,0.507297,0.331566667,0.022178549,1.4,0.551887,0.3335675,0.002752469,1.4,0.5520585,0.337950278,-0.000952778,1.4,0.5256475,0.327850833,0.035464506,1.4,0.559776,0.33271,0.017732253,1.4,0.61397,0.329565833,-0.013074228
1.45,0.5235895,0.333376944,0.016197222,1.45,0.568694,0.333376944,-0.019479012,1.45,0.5688655,0.335949444,-0.019055556,1.45,0.542283,0.331280833,0.03456466,1.45,0.5767545,0.333091111,-0.010004167,1.45,0.630091,0.329946944,0.00958071
1.5,0.5407395,0.333662778,0.003387654,1.5,0.5853295,0.331376111,-0.033453086,1.5,0.5856725,0.333376944,0.014344599,1.5,0.5589185,0.332233611,0.013921142,1.5,0.5932185,0.330995,-0.025936728,1.5,0.646898,0.331661944,0.013603549
1.55,0.557032,0.332614722,0.007992747,1.55,0.601965,0.327565,-0.004075772,1.55,0.601965,0.336235278,0.065106481,1.55,0.575554,0.332138333,0.001640895,1.55,0.609854,0.328803611,-0.010004167,1.55,0.663362,0.331757222,0.007357562
1.6,0.573839,0.334234444,0.016197222,1.6,0.617743,0.329756389,0.043351389,1.6,0.619115,0.341475556,0.08172716,1.6,0.5921895,0.331090278,0.012227315,1.6,0.625975,0.329089444,0.023184259,1.6,0.6799975,0.332805278,-0.006351852
1.65,0.5904745,0.3352825,0.009316049,1.65,0.6347215,0.335473056,0.02974784,1.65,0.635922,0.349764722,0.008998457,1.65,0.608482,0.333091111,0.027101235,1.65,0.6426105,0.332233611,0.035093981,1.65,0.6968045,0.330995,-0.013815278
1.7,0.607453,0.335091944,0.00883966,1.7,0.6517,0.334520278,-0.014079938,1.7,0.65513,0.340808611,-0.040228395,1.7,0.6254605,0.335663611,0.009739506,1.7,0.659246,0.334425,0.013709414,1.7,0.713097,0.329375278,0.019955401
